Project,StationName,StationCode,Latitude,Longitude,TripCode,SampleTime_UTC,SampleTime_Local,Year_Local,Month_Local,Day_Local,Time_Local24hr,SampleDepth_m,CTDSST_degC,CTDChlaSurf_mgm3,CTDSalinity_psu,Method,Acanthodinium,Acanthoica,Acanthostomella,Achnanthes,Actiniscus,Actinocyclus,Actinomonas,Actinoptychus,Akashiwo,Alexandrium,Algirosphaera,Alisphaera,Amoeba,Amphidinium,Amphidoma,Amphiprora,Amphisolenia,Amphora,Amphorides,Anabaena,Apedinella,Ascampbelliella,Asterionellopsis,Asteromphalus,Attheya,Azpeitia,Bacillaria,Bacteriastrum,Bellerochea,Bicosta,Biddulphia,Blepharocysta,Braarudosphaera,Brachidinium,Calcidiscus,Calciopappus,Calciosolenia,Calliacantha ,Calycomonas,Calyptrolithophora,Campylodiscus,Cerataulina,Ceratocorys,Ceratoperidinium,Chaetoceros,Chamaesiphon,Chrysochromulina,Cladopyxis,Climacocylis,Climacodium,Coccolithus,Cocconeis,Cochlodinium,Codonella,Codonellopsis,Corethron,Coronosphaera,Corythodinium,Coscinodiscus,Cyclophora,Cyclotella,Cylindrotheca,Cymatocylis,Cymatosira,Cymbella,Cymbomonas,Cyttarocylis,Dactyliosolen,Dadayiella,Detonula,Dictyocha,Dictyocysta,Dinobryon,Dinophysis,Diploneis,Diplopsalis,Dissodinium,Distephanus,Ditylum,Ebria,Emiliania,Entomoneis,Ephemera,Epiplocylis,Epiplocyloides,Erythropsidinium,Eucampia,Euglena,Eunotia,Eutintinnus,Eutreptiella,Favella,Florisphaera,Fragilaria,Fragilariopsis,Gephyrocapsa,Goniodoma,Gonyaulacida,Gonyaulax,Gossleriella,Grammatophora,Guinardia,Gymnodinium,Gyrodinium,Gyrosigma,Halosphaera,Haslea,Helicosphaera,Helicostomella,Helicotheca,Hemiaulus,Hemidiscus,Hemiselmis,Heterocapsa,Heterosigma,Karenia,Karlodinium,Katodinium,Kofoidinium,Laboea,Lauderia,Lepidodinium,Leptocylindrus,Leucocryptos,Levanderina,Licmophora,Lingulodinium,Lioloma,Lithodesmium,Lyngbya,Lyrella,Manguinea,Mastogloia,Melosira,Membraneis,Meringosphaera,Merismopedia,Mesodinium,Mesoporos,Meuniera,Michaelsarsia,Minidiscus,Minutocellus,Nanoneis,Navicula,Nematodinium,Neogloboquadrina,Neostreptotheca,Nephroselmis,Nitzschia,Noctiluca,Nodularia,Ochromonas,Octactis,Odontella,Oolithotus,Ophiaster,Ormosella,Ornithocercus,Oxyphysis,Oxyrrhis,Oxytoxum,Palaeophalacroma,Palmerina,Paralia,Parundella,Parvicorbicula,Peridiniella,Peridinium,Petasaria,Phaeocystis,Phalacroma,Plagioselmis,Plagiotropis,Planktoniella,Pleurasiga,Pleurosigma,Podolampas,Polykrikos,Porosira,Proboscia,Pronoctiluca,Proplectella,Prorocentrum,Protoceratium,Protoperidinium,Protorhabdonella,Prymnesium,Pseliodinium,Pseudanabaena,Pseudo-nitzschia,Pseudosolenia,Pterosperma,Ptychodiscus,Pyramimonas,Pyrocystis,Pyrophacus,Reticulofenestra,Rhabdonella,Rhabdonema,Rhaphoneis,Rhizosolenia,Rhodomonas,Roperia,Rotalia,Salpingella,Scrippsiella,Shionodiscus,Skeletonema,Spatulodinium,Steenstrupiella,Stellarima,Stephanopyxis,Striatella,Strombidium,Surirella,Synedra,Synedropsis,Syracosphaera,Takayama,Teleaulax,Telonema,Tetraselmis,Thalassionema,Thalassiosira,Thalassiothrix,Tintinnidium,Tintinnopsis,Torodinium,Toxarium,Triadinium,Triceratium,Trichodesmium,Trichotoxon,Trigonium,Tripos,Tripos (gametes),Tropidoneis,Tryblionella,Undella,Vorticella,Warnowia,Xystonella,Xystonellopsis
SOTS,Southern Ocean Time Series - Remote Access Sampler,SOTS_RAS,-47.0227,142.2334,SOTS_IN2019_V02_CTD12_11.7,2019-03-20T03:50:00Z,2019-03-20 03:50:00,2019,3,20,03:50,10,,,,LM,0,0,0,0,0,0,0,0,0,0,0,0,0,422719.2743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13552624.059,0,0,0,0,0,0,0,0,0,0,7653143.628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150124.6121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342751.5039,0,0,0,122238.9824,0,0,46123856.6866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557914.1705,5313468.2903,0,0,0,0,0,0,0,,0,0,16443.495,0,0,0,0,0,0,0,0,0,0,0,36929834.5871,0,0,0,0,0,0,0,0,14759.6341,0,0,0,0,0,0,0,0,0,77949317.8004,0,0,4809180.7905,0,,0,0,0,0,6827965.5471,0,8142671.4936,0,0,0,0,0,0,0,0,1540204147.5799,0,0,0,0,2350471.7368,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69032038.841,5597395.0648,0,0,0,0,0,0,0,120370298.5924,0,70962407.6579,0,0,0,0,0,0,0,0
SOTS,Southern Ocean Time Series - Remote Access Sampler,SOTS_RAS,-47.0227,142.2334,SOTS_IN2019_V02_CTD12_11.7,2019-03-20T03:50:00Z,2019-03-20 03:50:00,2019,3,20,03:50,10,,,,SEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95469848.48,0,120979.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12729.31,0,0,0,0,0,0,0,0,0,0,0,3055035.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305503.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3564207.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOTS,Southern Ocean Time Series - Remote Access Sampler,SOTS_RAS,-47.0227,142.2334,SOTS_IN2019_V02_CTD2_5.3,2019-03-16T13:30:00Z,2019-03-16 13:30:00,2019,3,16,13:30,10,,,,LM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOTS,Southern Ocean Time Series - Remote Access Sampler,SOTS_RAS,-47.0227,142.2334,SOTS_IN2019_V02_CTD2_5.3,2019-03-16T13:30:00Z,2019-03-16 13:30:00,2019,3,16,13:30,10,,,,SEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31823282.83,0,40326.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4243.1,0,0,0,0,0,0,0,0,0,0,0,1018345.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101834.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1188069.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOTS,Southern Ocean Time Series - Remote Access Sampler,SOTS_RAS,-47.0227,142.2334,SOTS_IN2019_V02_CTD3_4.5,2019-03-17T01:11:00Z,2019-03-17 01:11:00,2019,3,17,01:11,10,,,,LM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOTS,Southern Ocean Time Series - Remote Access Sampler,SOTS_RAS,-47.0227,142.2334,SOTS_IN2019_V02_CTD3_4.5,2019-03-17T01:11:00Z,2019-03-17 01:11:00,2019,3,17,01:11,10,,,,SEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44022207.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339448.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135779.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678896.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOTS,Southern Ocean Time Series - Remote Access Sampler,SOTS_RAS,-47.0227,142.2334,SOTS_IN2019_V02_CTD7_7.9,2019-03-19T01:00:00Z,2019-03-19 01:00:00,2019,3,19,01:00,10,,,,LM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOTS,Southern Ocean Time Series - Remote Access Sampler,SOTS_RAS,-47.0227,142.2334,SOTS_IN2019_V02_CTD7_7.9,2019-03-19T01:00:00Z,2019-03-19 01:00:00,2019,3,19,01:00,10,,,,SEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40839879.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1357793.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67889.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678896.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOTS,Southern Ocean Time Series - Remote Access Sampler,SOTS_RAS,-46.9862,141.8896,SOTS_IN2021_V02_CTD2_125,2021-04-17T02:55:00Z,2021-04-17 02:55:00,2021,4,17,02:55,,,,,LM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOTS,Southern Ocean Time Series - Remote Access Sampler,SOTS_RAS,-46.9862,141.8896,SOTS_IN2021_V02_CTD2_125,2021-04-17T02:55:00Z,2021-04-17 02:55:00,2021,4,17,02:55,,,,,SEM,0,0,0,0,0,0,0,0,0,0,339448.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16442029.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339448.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33944.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135779.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
