ABUNDANCE,BIOMAS,GENUS_SPECIES,SAMPLE_DESC,PLOT,LATITUDE,LONGITUDE,DAY,MONTH,YEAR
0,7.54128,"Anabaena flos-aquae",42.19_88.1_7_8_2002,,47.330000,8.560000,7,8,2002
0,4.09116,"Ankyra ancora",42.19_88.1_3_7_1996,,47.330000,8.560000,3,7,1996
0,1.3236,"Ankyra sp",42.19_88.1_10_7_2006,,47.330000,8.560000,10,7,2006
0,1.3809,"Ankyra sp",42.19_88.1_1_7_2009,,47.330000,8.560000,1,7,2009
0,1.96853,"Ankyra sp",42.19_88.1_6_7_2005,,47.330000,8.560000,6,7,2005
0,3.9694,"Ankyra sp",42.19_88.1_6_6_2007,,47.330000,8.560000,6,6,2007
0,2.15214,"Aphanizomenon flos-aquae",42.19_88.1_7_4_2004,,47.330000,8.560000,7,4,2004
0,3.55328,"Aphanizomenon flos-aquae",42.19_88.1_5_2_1997,,47.330000,8.560000,5,2,1997
0,3.56615,"Aphanizomenon flos-aquae",42.19_88.1_3_2_1993,,47.330000,8.560000,3,2,1993
0,3.8626,"Aphanizomenon flos-aquae",42.19_88.1_9_8_1989,,47.330000,8.560000,9,8,1989
0,5.10376,"Aphanizomenon flos-aquae",42.19_88.1_3_2_2010,,47.330000,8.560000,3,2,2010
0,5.15749,"Aphanizomenon flos-aquae",42.19_88.1_7_2_1990,,47.330000,8.560000,7,2,1990
0,5.40682,"Aphanizomenon flos-aquae",42.19_88.1_8_1_1992,,47.330000,8.560000,8,1,1992
0,5.43895,"Aphanizomenon flos-aquae",42.19_88.1_9_3_2005,,47.330000,8.560000,9,3,2005
0,5.66228,"Aphanizomenon flos-aquae",42.19_88.1_8_3_2006,,47.330000,8.560000,8,3,2006
0,6.07507,"Aphanizomenon flos-aquae",42.19_88.1_5_2_2003,,47.330000,8.560000,5,2,2003
0,6.13454,"Aphanizomenon flos-aquae",42.19_88.1_8_10_2003,,47.330000,8.560000,8,10,2003
0,6.71884,"Aphanizomenon flos-aquae",42.19_88.1_7_1_1987,,47.330000,8.560000,7,1,1987
0,7.16245,"Aphanizomenon flos-aquae",42.19_88.1_8_9_1993,,47.330000,8.560000,8,9,1993
0,8.77843,"Aphanizomenon flos-aquae",42.19_88.1_4_2_1998,,47.330000,8.560000,4,2,1998
