,rounded-date,ABUNDANCE
0,1995-03-27,1.0
1,1995-04-03,0.22
2,1995-04-10,0.08
3,1995-04-17,
4,1995-04-24,
5,1995-05-01,
6,1995-05-08,
7,1995-05-15,
8,1995-05-22,
9,1995-05-29,
10,1995-06-05,10.433333333333334
11,1995-06-12,
12,1995-06-19,138.49
13,1995-06-26,46.75
14,1995-07-03,59.11833333333333
15,1995-07-10,0.96
16,1995-07-17,1.04
17,1995-07-24,1739.95
18,1995-07-31,
19,1995-08-07,682.61
20,1995-08-14,516.02
21,1995-08-21,110.31
22,1995-08-28,200.37
23,1995-09-04,411.95
24,1995-09-11,31.7
25,1995-09-18,30.26
26,1995-09-25,3.712307692307692
27,1995-10-02,1.9849999999999999
28,1995-10-09,0.8214285714285714
29,1995-10-16,45.81285714285714
30,1995-10-23,21.772
31,1995-10-30,
32,1995-11-06,15.13
33,1995-11-13,60.52
34,1995-11-20,30.26
35,1995-11-27,
36,1995-12-04,
37,1995-12-11,
38,1995-12-18,
39,1995-12-25,
40,1996-01-01,
41,1996-01-08,0.06
42,1996-01-15,0.08
43,1996-01-22,0.08
44,1996-01-29,
45,1996-02-05,0.08
46,1996-02-12,
47,1996-02-19,15.13
48,1996-02-26,0.12
49,1996-03-04,
50,1996-03-11,15.13
51,1996-03-18,60.52
52,1996-03-25,105.99
53,1996-04-01,3.19
54,1996-04-08,0.24
55,1996-04-15,15.29
56,1996-04-22,3.6533333333333338
57,1996-04-29,1.5321428571428573
58,1996-05-06,3.0900000000000003
59,1996-05-13,0.6461538461538462
60,1996-05-20,0.496
61,1996-05-27,0.8
62,1996-06-03,0.16
63,1996-06-10,0.56
64,1996-06-17,6.632142857142857
65,1996-06-24,6.939285714285715
66,1996-07-01,30.26
67,1996-07-08,0.72
68,1996-07-15,31.14
69,1996-07-22,363.12
70,1996-07-29,
71,1996-08-05,61.08
72,1996-08-12,122.08
73,1996-08-19,1.68
74,1996-08-26,49.23
75,1996-09-02,15.93
76,1996-09-09,0.32
77,1996-09-16,
78,1996-09-23,6.118571428571428
79,1996-09-30,1.580909090909091
80,1996-10-07,1.8182608695652174
81,1996-10-14,2.625
82,1996-10-21,13.459999999999999
83,1996-10-28,15.29
84,1996-11-04,60.6
85,1996-11-11,75.73
86,1996-11-18,45.55
87,1996-11-25,15.29
88,1996-12-02,15.13
89,1996-12-09,0.08
90,1996-12-16,
91,1996-12-23,
92,1996-12-30,
93,1997-01-06,7.57
94,1997-01-13,
95,1997-01-20,7.745
96,1997-01-27,
97,1997-02-03,0.06
98,1997-02-10,
99,1997-02-17,
100,1997-02-24,0.4
101,1997-03-03,0.48
102,1997-03-10,15.32
103,1997-03-17,15.486666666666666
104,1997-03-24,6.332
105,1997-03-31,10.646666666666667
106,1997-04-07,2.5816666666666666
107,1997-04-14,0.32
108,1997-04-21,1.6087500000000001
109,1997-04-28,10.471111111111112
110,1997-05-05,0.43857142857142856
111,1997-05-12,0.963076923076923
112,1997-05-19,2.9757142857142855
113,1997-05-26,25.505
114,1997-06-02,8.58
115,1997-06-09,2.88
116,1997-06-16,0.5511111111111111
117,1997-06-23,1.286
118,1997-06-30,1.4526666666666666
119,1997-07-07,4.695
120,1997-07-14,636.02
121,1997-07-21,681.17
122,1997-07-28,423.72
123,1997-08-04,121.04
124,1997-08-11,75.73
125,1997-08-18,333.34
126,1997-08-25,4.16
127,1997-09-01,46.11
128,1997-09-08,121.52
129,1997-09-15,12.154444444444444
130,1997-09-22,4.540909090909091
131,1997-09-29,14.56153846153846
132,1997-10-06,4.0407692307692304
133,1997-10-13,8.644285714285713
134,1997-10-20,
135,1997-10-27,
136,1997-11-03,
137,1997-11-10,0.08
138,1997-11-17,30.26
139,1997-11-24,
140,1997-12-01,0.16
141,1997-12-08,45.39
142,1997-12-15,60.54
143,1997-12-22,
144,1997-12-29,
145,1998-01-05,
146,1998-01-12,15.37
147,1998-01-19,0.16
148,1998-01-26,15.13
149,1998-02-02,0.16
150,1998-02-09,0.08
151,1998-02-16,
152,1998-02-23,15.08
153,1998-03-02,15.08
154,1998-03-09,
155,1998-03-16,0.16
156,1998-03-23,15.13
157,1998-03-30,30.26
158,1998-04-06,15.53
159,1998-04-13,76.05
160,1998-04-20,15.69
161,1998-04-27,15.29
162,1998-05-04,15.21
163,1998-05-11,10.926666666666668
164,1998-05-18,0.6775
165,1998-05-25,0.2333333333333333
166,1998-06-01,6.927142857142857
167,1998-06-08,0.8333333333333334
168,1998-06-15,1.2
169,1998-06-22,25.01
170,1998-06-29,
171,1998-07-06,33.82
172,1998-07-13,124.72
173,1998-07-20,46.83
174,1998-07-27,1.44
175,1998-08-03,14.785
176,1998-08-10,45.95
177,1998-08-17,
178,1998-08-24,31.38
179,1998-08-31,
180,1998-09-07,
181,1998-09-14,
182,1998-09-21,
183,1998-09-28,15.21
184,1998-10-05,0.26
185,1998-10-12,0.08
186,1998-10-19,0.16
187,1998-10-26,
188,1998-11-02,
189,1998-11-09,
190,1998-11-16,0.24
191,1998-11-23,0.24
192,1998-11-30,0.16
193,1998-12-07,
194,1998-12-14,0.08
195,1998-12-21,0.16
196,1998-12-28,
197,1999-01-04,
198,1999-01-11,0.08
199,1999-01-18,30.42
200,1999-01-25,0.16
201,1999-02-01,45.63
202,1999-02-08,15.06
203,1999-02-15,60.52
204,1999-02-22,15.06
205,1999-03-01,
206,1999-03-08,60.62
207,1999-03-15,0.1
208,1999-03-22,15.06
209,1999-03-29,60.52
210,1999-04-05,136.17
211,1999-04-12,60.76
212,1999-04-19,0.24
213,1999-04-26,75.89
214,1999-05-03,18.97
215,1999-05-10,15.93
216,1999-05-17,61.8
217,1999-05-24,31.22
218,1999-05-31,61.88
219,1999-06-07,17.72
220,1999-06-14,61.88
221,1999-06-21,198.29
222,1999-06-28,
223,1999-07-05,137.45
224,1999-07-12,454.94
225,1999-07-19,30.74
226,1999-07-26,60.6
227,1999-08-02,258.01
228,1999-08-09,349.75
229,1999-08-16,378.73
230,1999-08-23,60.84
231,1999-08-30,76.53
232,1999-09-06,75.65
233,1999-09-13,145.19
234,1999-09-20,84.92
235,1999-09-27,
236,1999-10-04,0.72
237,1999-10-11,0.56
238,1999-10-18,
239,1999-10-25,15.29
240,1999-11-01,15.13
241,1999-11-08,30.26
242,1999-11-15,30.5
243,1999-11-22,
244,1999-11-29,0.08
245,1999-12-06,
246,1999-12-13,0.08
247,1999-12-20,
248,1999-12-27,
249,2000-01-03,7.6850000000000005
250,2000-01-10,
