,rounded-date,ABUNDANCE
0,1995-03-27,2076.5925
1,1995-04-03,902.7566666666667
2,1995-04-10,2171.155
3,1995-04-17,
4,1995-04-24,
5,1995-05-01,
6,1995-05-08,
7,1995-05-15,
8,1995-05-22,
9,1995-05-29,1344.0483333333334
10,1995-06-05,1321.7135714285712
11,1995-06-12,
12,1995-06-19,1815.6
13,1995-06-26,928.982
14,1995-07-03,1200.3133333333333
15,1995-07-10,1544.775
16,1995-07-17,2435.93
17,1995-07-24,2420.8
18,1995-07-31,14479.4
19,1995-08-07,2103.07
20,1995-08-14,2511.58
21,1995-08-21,1452.48
22,1995-08-28,3343.73
23,1995-09-04,1391.96
24,1995-09-11,2662.88
25,1995-09-18,1618.91
26,1995-09-25,1130.6761538461537
27,1995-10-02,1309.26
28,1995-10-09,976.8946666666667
29,1995-10-16,1930.1557142857143
30,1995-10-23,2776.388
31,1995-10-30,2405.67
32,1995-11-06,1149.88
33,1995-11-13,1316.31
34,1995-11-20,1558.39
35,1995-11-27,
36,1995-12-04,680.85
37,1995-12-11,438.77
38,1995-12-18,
39,1995-12-25,
40,1996-01-01,
41,1996-01-08,832.26
42,1996-01-15,317.73
43,1996-01-22,665.72
44,1996-01-29,144.99
45,1996-02-05,1013.71
46,1996-02-12,
47,1996-02-19,726.24
48,1996-02-26,1800.47
49,1996-03-04,1467.61
50,1996-03-11,711.11
51,1996-03-18,1664.3
52,1996-03-25,620.43
53,1996-04-01,1618.91
54,1996-04-08,938.06
55,1996-04-15,1679.43
56,1996-04-22,3518.805714285714
57,1996-04-29,1346.57
58,1996-05-06,1780.2011111111112
59,1996-05-13,2064.7153846153847
60,1996-05-20,3153.0919999999996
61,1996-05-27,1059.1
62,1996-06-03,1497.87
63,1996-06-10,1255.79
64,1996-06-17,3612.5363
65,1996-06-24,3293.6130000000003
66,1996-07-01,1497.87
67,1996-07-08,983.45
68,1996-07-15,1149.88
69,1996-07-22,877.54
70,1996-07-29,801.89
71,1996-08-05,1225.53
72,1996-08-12,862.41
73,1996-08-19,1391.96
74,1996-08-26,3222.69
75,1996-09-02,423.64
76,1996-09-09,1482.74
77,1996-09-16,
78,1996-09-23,1550.1133333333335
79,1996-09-30,1358.2613636363637
80,1996-10-07,1136.3533333333332
81,1996-10-14,1625.165
82,1996-10-21,1878.693
83,1996-10-28,1028.84
84,1996-11-04,1513.0
85,1996-11-11,1694.56
86,1996-11-18,953.19
87,1996-11-25,862.41
88,1996-12-02,771.63
89,1996-12-09,612.765
90,1996-12-16,
91,1996-12-23,
92,1996-12-30,
93,1997-01-06,378.25
94,1997-01-13,310.165
95,1997-01-20,257.21
96,1997-01-27,
97,1997-02-03,287.47
98,1997-02-10,
99,1997-02-17,
100,1997-02-24,635.46
101,1997-03-03,892.67
102,1997-03-10,650.59
103,1997-03-17,2173.6766666666667
104,1997-03-24,1346.57
105,1997-03-31,1028.84
106,1997-04-07,975.8849999999999
107,1997-04-14,1694.56
108,1997-04-21,1482.922888888889
109,1997-04-28,1315.3574166666667
110,1997-05-05,1087.449176470588
111,1997-05-12,1107.8996923076922
112,1997-05-19,3097.168466666667
113,1997-05-26,2475.6475
114,1997-06-02,2069.025
115,1997-06-09,1830.73
116,1997-06-16,1718.5546666666667
117,1997-06-23,1217.811224489796
118,1997-06-30,1047.7262857142857
119,1997-07-07,1410.086
120,1997-07-14,1739.95
121,1997-07-21,1951.77
122,1997-07-28,711.11
123,1997-08-04,650.59
124,1997-08-11,1800.47
125,1997-08-18,922.93
126,1997-08-25,3434.51
127,1997-09-01,1361.7
128,1997-09-08,2087.94
129,1997-09-15,1115.8733333333334
130,1997-09-22,916.5547272727273
131,1997-09-29,792.3034615384615
132,1997-10-06,991.755076923077
133,1997-10-13,1569.0492857142858
134,1997-10-20,
135,1997-10-27,
136,1997-11-03,
137,1997-11-10,922.93
138,1997-11-17,695.98
139,1997-11-24,393.38
140,1997-12-01,1588.65
141,1997-12-08,1301.18
142,1997-12-15,1149.88
143,1997-12-22,
144,1997-12-29,
145,1998-01-05,
146,1998-01-12,529.55
147,1998-01-19,1028.84
148,1998-01-26,1240.66
149,1998-02-02,1240.66
150,1998-02-09,1936.64
151,1998-02-16,
152,1998-02-23,2027.42
153,1998-03-02,968.32
154,1998-03-09,
155,1998-03-16,741.37
156,1998-03-23,1694.56
157,1998-03-30,786.76
158,1998-04-06,1891.25
159,1998-04-13,1104.49
160,1998-04-20,2375.41
161,1998-04-27,998.58
162,1998-05-04,1936.64
163,1998-05-11,1813.0783333333331
164,1998-05-18,1087.0905
165,1998-05-25,1545.7816666666668
166,1998-06-01,1614.7072222222223
167,1998-06-08,1041.133125
168,1998-06-15,1997.16
169,1998-06-22,3207.56
170,1998-06-29,
171,1998-07-06,2526.71
172,1998-07-13,2829.31
173,1998-07-20,5129.07
174,1998-07-27,2874.7
175,1998-08-03,4206.139999999999
176,1998-08-10,4508.74
177,1998-08-17,
178,1998-08-24,6505.9
179,1998-08-31,
180,1998-09-07,
181,1998-09-14,
182,1998-09-21,
183,1998-09-28,3404.25
184,1998-10-05,3510.16
185,1998-10-12,2829.31
186,1998-10-19,2904.96
187,1998-10-26,
188,1998-11-02,
189,1998-11-09,1770.21
190,1998-11-16,1982.03
191,1998-11-23,1997.16
192,1998-11-30,1982.03
193,1998-12-07,817.02
194,1998-12-14,817.02
195,1998-12-21,1376.83
196,1998-12-28,
197,1999-01-04,1013.71
198,1999-01-11,847.28
199,1999-01-18,801.89
200,1999-01-25,469.03
201,1999-02-01,1134.75
202,1999-02-08,1391.96
203,1999-02-15,1195.27
204,1999-02-22,953.19
205,1999-03-01,
206,1999-03-08,1482.74
207,1999-03-15,1997.16
208,1999-03-22,2405.67
209,1999-03-29,2602.36
210,1999-04-05,1724.82
211,1999-04-12,2103.07
212,1999-04-19,2874.7
213,1999-04-26,6309.21
214,1999-05-03,1482.74
215,1999-05-10,847.28
216,1999-05-17,2602.36
217,1999-05-24,1376.83
218,1999-05-31,2693.14
219,1999-06-07,5537.58
220,1999-06-14,
221,1999-06-21,3041.13
222,1999-06-28,
223,1999-07-05,3298.34
224,1999-07-12,1800.47
225,1999-07-19,1252.19
226,1999-07-26,2844.44
