,rounded-date,ABUNDANCE
0,1995-03-27,5.025
1,1995-04-03,2.9599999999999995
2,1995-04-10,3.0
3,1995-04-17,
4,1995-04-24,
5,1995-05-01,
6,1995-05-08,
7,1995-05-15,
8,1995-05-22,
9,1995-05-29,4.053333333333334
10,1995-06-05,2.0114285714285716
11,1995-06-12,
12,1995-06-19,4.64
13,1995-06-26,1.904
14,1995-07-03,1.62
15,1995-07-10,8.67
16,1995-07-17,3.12
17,1995-07-24,3.04
18,1995-07-31,4.64
19,1995-08-07,3.84
20,1995-08-14,3.92
21,1995-08-21,3.04
22,1995-08-28,3.44
23,1995-09-04,10.32
24,1995-09-11,5.2
25,1995-09-18,6.32
26,1995-09-25,1.5692307692307692
27,1995-10-02,1.4613333333333334
28,1995-10-09,0.9400000000000001
29,1995-10-16,3.0171428571428573
30,1995-10-23,2.096
31,1995-10-30,0.88
32,1995-11-06,1.36
33,1995-11-13,1.2
34,1995-11-20,0.8
35,1995-11-27,
36,1995-12-04,0.56
37,1995-12-11,0.72
38,1995-12-18,
39,1995-12-25,
40,1996-01-01,
41,1996-01-08,0.3
42,1996-01-15,0.64
43,1996-01-22,0.4
44,1996-01-29,1.04
45,1996-02-05,0.68
46,1996-02-12,
47,1996-02-19,2.24
48,1996-02-26,1.86
49,1996-03-04,2.8
50,1996-03-11,5.12
51,1996-03-18,1.44
52,1996-03-25,1.2
53,1996-04-01,2.0
54,1996-04-08,5.92
55,1996-04-15,11.92
56,1996-04-22,9.417142857142858
57,1996-04-29,3.1413333333333333
58,1996-05-06,1.9533333333333331
59,1996-05-13,3.095384615384615
60,1996-05-20,3.9839999999999995
61,1996-05-27,2.4
62,1996-06-03,0.64
63,1996-06-10,2.08
64,1996-06-17,3.4313333333333333
65,1996-06-24,2.59375
66,1996-07-01,2.0
67,1996-07-08,7.98
68,1996-07-15,2.48
69,1996-07-22,1.68
70,1996-07-29,0.96
71,1996-08-05,3.32
72,1996-08-12,10.96
73,1996-08-19,4.6
