,rounded-date,ABUNDANCE,BIOMAS
0,1982-07-01,3.5606666666666666,47.362
1,1982-08-01,8.458,115.586
2,1982-09-01,2.0065,19.512
3,1982-10-01,4.211499999999999,34.5305
4,1982-11-01,4.92,47.164
5,1982-12-01,,
6,1983-01-01,,
7,1983-02-01,,
8,1983-03-01,,
9,1983-04-01,0.46714285714285714,2.867142857142857
10,1983-05-01,0.726,3.309
11,1983-06-01,0.6,3.451538461538462
12,1983-07-01,0.6944444444444444,4.251111111111111
13,1983-08-01,0.6190476190476191,5.294285714285714
14,1983-09-01,0.384,2.63
15,1983-10-01,0.6194999999999999,8.1295
16,1983-11-01,,
17,1983-12-01,,
18,1984-01-01,0.6200000000000001,8.100000000000001
19,1984-02-01,,
20,1984-03-01,,
21,1984-04-01,0.06,0.23
22,1984-05-01,0.09999999999999999,0.69
23,1984-06-01,,
24,1984-07-01,0.235,0.65
25,1984-08-01,,
26,1984-09-01,,
27,1984-10-01,,
28,1984-11-01,,
29,1984-12-01,,
30,1985-01-01,3.155,24.585
31,1985-02-01,2.75,17.240000000000002
32,1985-03-01,2.01,13.1
33,1985-04-01,1.1814285714285713,5.45
34,1985-05-01,3.5938461538461537,12.703076923076923
35,1985-06-01,3.0109523809523813,8.182380952380951
36,1985-07-01,3.662,14.2464
37,1985-08-01,3.6255,15.610499999999998
38,1985-09-01,2.9576,10.4916
39,1985-10-01,6.25578947368421,37.32578947368421
40,1985-11-01,3.742,28.293
41,1985-12-01,,
42,1986-01-01,4.4625,30.2625
43,1986-02-01,2.9066666666666663,14.763333333333334
44,1986-03-01,2.7,12.05
45,1986-04-01,1.522857142857143,9.545714285714284
46,1986-05-01,1.0219999999999998,6.798
47,1986-06-01,,
48,1986-07-01,,
49,1986-08-01,0.19,0.71
50,1986-09-01,0.405,2.27
51,1986-10-01,0.3066666666666667,2.21
52,1986-11-01,0.5,4.16
53,1986-12-01,,
54,1987-01-01,,
55,1987-02-01,2.0300000000000002,5.800000000000001
56,1987-03-01,,
57,1987-04-01,1.2325,3.65375
58,1987-05-01,1.2774999999999999,5.6675
59,1987-06-01,3.6060000000000003,17.4052
60,1987-07-01,2.8575,15.074000000000002
61,1987-08-01,1.2858823529411765,5.197058823529411
62,1987-09-01,0.776875,4.465
63,1987-10-01,0.364375,4.019375
64,1987-11-01,0.42500000000000004,7.075
65,1987-12-01,,
66,1988-01-01,,
67,1988-02-01,0.09,1.46
68,1988-03-01,,
69,1988-04-01,0.1,5.23
70,1988-05-01,0.135,4.005
71,1988-06-01,0.225,2.3425
72,1988-07-01,0.330625,4.010625
73,1988-08-01,0.378,2.6550000000000002
74,1988-09-01,0.951,8.195
75,1988-10-01,1.1304545454545456,13.27
76,1988-11-01,0.83,14.77
77,1988-12-01,,
78,1989-01-01,,
79,1989-02-01,2.01,32.51
80,1989-03-01,,
81,1989-04-01,1.0842857142857143,19.505714285714284
82,1989-05-01,1.3505555555555555,11.13
83,1989-06-01,8.751000000000001,42.489999999999995
84,1989-07-01,9.0336,46.243199999999995
85,1989-08-01,5.2705,25.5855
86,1989-09-01,0.98,6.574117647058824
87,1989-10-01,2.268181818181818,27.528181818181817
88,1989-11-01,1.67,27.395000000000003
89,1989-12-01,,
90,1990-01-01,3.5149999999999997,71.75
91,1990-02-01,,
92,1990-03-01,,
93,1990-04-01,1.2925,27.1025
94,1990-05-01,0.834,9.194666666666667
95,1990-06-01,0.9386666666666666,11.841333333333333
96,1990-07-01,2.4683333333333333,23.641666666666666
97,1990-08-01,4.240555555555556,32.96722222222222
98,1990-09-01,4.423529411764706,41.55235294117647
99,1990-10-01,3.8400000000000003,59.13894736842104
100,1990-11-01,,
101,1990-12-01,,
102,1991-01-01,,
103,1991-02-01,,
104,1991-03-01,,
105,1991-04-01,1.343,17.18
106,1991-05-01,1.0786666666666667,13.186
107,1991-06-01,2.8335,26.236
108,1991-07-01,2.4804,19.5452
109,1991-08-01,1.4875,10.746
110,1991-09-01,3.467727272727273,35.967727272727274
111,1991-10-01,6.170555555555556,67.0411111111111
112,1991-11-01,4.29,96.54
113,1991-12-01,,
114,1992-01-01,,
115,1992-02-01,2.63,119.42
116,1992-03-01,,
117,1992-04-01,0.3833333333333333,17.28
118,1992-05-01,0.4475,12.504999999999999
119,1992-06-01,1.9341666666666668,56.49916666666667
120,1992-07-01,3.7920000000000003,120.85650000000001
121,1992-08-01,1.105,19.415555555555557
122,1992-09-01,1.5133333333333332,32.44777777777777
123,1992-10-01,1.3471428571428572,27.92642857142857
124,1992-11-01,1.2442857142857142,21.367142857142856
125,1992-12-01,,
126,1993-01-01,0.08,0.92
127,1993-02-01,,
128,1993-03-01,,
129,1993-04-01,,
130,1993-05-01,0.185,3.485
131,1993-06-01,0.11200000000000002,1.504
132,1993-07-01,0.2169230769230769,2.7153846153846155
133,1993-08-01,0.36857142857142855,6.793809523809524
134,1993-09-01,0.49533333333333335,3.8406666666666665
135,1993-10-01,0.6499999999999999,7.884615384615385
136,1993-11-01,0.515,5.415
137,1993-12-01,,
138,1994-01-01,0.06,1.63
139,1994-02-01,,
140,1994-03-01,,
141,1994-04-01,0.78,4.6
142,1994-05-01,1.2818181818181817,9.083636363636364
143,1994-06-01,0.7766666666666667,4.588666666666667
144,1994-07-01,0.494,8.038666666666668
145,1994-08-01,0.24799999999999997,4.610666666666666
146,1994-09-01,0.10153846153846155,1.373076923076923
147,1994-10-01,0.3436842105263158,6.001578947368421
148,1994-11-01,1.07,14.459999999999999
149,1994-12-01,,
150,1995-01-01,0.04,0.55
151,1995-02-01,0.03,0.18
152,1995-03-01,,
153,1995-04-01,0.02,0.36
154,1995-05-01,0.3744444444444444,1.1833333333333333
155,1995-06-01,2.288125,14.486875
156,1995-07-01,8.492777777777778,56.43277777777777
157,1995-08-01,8.282631578947369,34.54631578947368
158,1995-09-01,3.0050000000000003,14.289444444444444
159,1995-10-01,6.154761904761905,42.65190476190476
160,1995-11-01,8.65,120.32
161,1995-12-01,,
162,1996-01-01,,
163,1996-02-01,0.71,7.66
164,1996-03-01,,
165,1996-04-01,0.455,4.595000000000001
166,1996-05-01,0.33,6.807142857142858
167,1996-06-01,1.4175,20.693125
168,1996-07-01,4.4575000000000005,55.069500000000005
169,1996-08-01,1.833181818181818,26.194999999999997
170,1996-09-01,0.91875,11.115
171,1996-10-01,1.1153846153846154,12.201538461538462
172,1996-11-01,1.9620000000000002,31.913999999999998
173,1996-12-01,,
174,1997-01-01,,
175,1997-02-01,,
176,1997-03-01,,
