ABUNDANCE,BIOMAS,GENUS_SPECIES,SAMPLE_DESC,PLOT,LATITUDE,LONGITUDE,DAY,MONTH,YEAR
202544,0,Calanoid,FI_35605_1_16,,43.098850,-89.405450,24,6,1997
2832,0,"Ceriodaphnia lacustris",FI_35605_1_16,,43.098850,-89.405450,24,6,1997
2832,0,Chydorus,FI_35605_1_16,,43.098850,-89.405450,24,6,1997
943760,0,"Copepod nauplii",FI_35605_1_16,,43.098850,-89.405450,24,6,1997
92656,0,Cyclopoid,FI_35605_1_16,,43.098850,-89.405450,24,6,1997
246880,0,"Daphnia mendotae",FI_35605_1_16,,43.098850,-89.405450,24,6,1997
3536,0,"Daphnia retrocurva",FI_35605_1_16,,43.098850,-89.405450,24,6,1997
2160,0,"Diacyclops thomasi",FI_35605_1_16,,43.098850,-89.405450,24,6,1997
1408,0,"Diaphanosoma birgei",FI_35605_1_16,,43.098850,-89.405450,24,6,1997
34480,0,Diaptomid,FI_35605_1_16,,43.098850,-89.405450,24,6,1997
288,0,"Leptodora kindti",FI_35605_1_16,,43.098850,-89.405450,24,6,1997
8624,0,"Mesocyclops edax",FI_35605_1_16,,43.098850,-89.405450,24,6,1997
10608,0,"Sinobosmina fryei",FI_35605_1_16,,43.098850,-89.405450,24,6,1997
47184,0,Calanoid,FI_35619_1_16,,43.098850,-89.405450,8,7,1997
15488,0,"Ceriodaphnia lacustris",FI_35619_1_16,,43.098850,-89.405450,8,7,1997
15488,0,Chydorus,FI_35619_1_16,,43.098850,-89.405450,8,7,1997
13200,0,"Copepod nauplii",FI_35619_1_16,,43.098850,-89.405450,8,7,1997
5168,0,Cyclopoid,FI_35619_1_16,,43.098850,-89.405450,8,7,1997
640,0,Daphnia,FI_35619_1_16,,43.098850,-89.405450,8,7,1997
43072,0,"Daphnia mendotae",FI_35619_1_16,,43.098850,-89.405450,8,7,1997
18256,0,"Daphnia pulicaria",FI_35619_1_16,,43.098850,-89.405450,8,7,1997
1056,0,"Daphnia retrocurva",FI_35619_1_16,,43.098850,-89.405450,8,7,1997
