attractor,values
Aizawa_x_0,"[-0.78450179, -0.7830082214348854, -0.7815131745822561, -0.7800166566417908, -0.7785186748121669, -0.7770192362909397, -0.7755183482745602, -0.774016017958354, -0.7725122525364068, -0.7710070592016943, -0.7695004451458022, -0.7679924175592325, -0.7664829836309408, -0.7649721505488275, -0.7634599254990929, -0.7619463156669031, -0.760431328235585, -0.7589149703874303, -0.7573972493027824, -0.7558781721609119, -0.7543577461390768, -0.7528359784133712, -0.751312876157875, -0.7497884465453425, -0.748262696746581, -0.7467356339308661, -0.7452072652656023, -0.7436775979164856, -0.7421466390473721, -0.7406143958202495, -0.7390808753953158, -0.7375460849307147, -0.7360100315828704, -0.7344727225059543, -0.7329341648524942, -0.731394365772568, -0.7298533324146782, -0.7283110719246962, -0.726767591446962, -0.7252228981230371, -0.7236769990929526, -0.7221299014938671, -0.7205816124613467, -0.719032139128065, -0.7174814886249559, -0.7159296680801386, -0.7143766846197357, -0.71282254536722, -0.7112672574438171, -0.7097108279681844, -0.7081532640565429, -0.706594572822622, -0.7050347613775051, -0.7034738368298885, -0.7019118062855882, -0.7003486768481542, -0.6987844556180143, -0.69721914969345, -0.6956527661693915, -0.694085312138719, -0.6925167946907664, -0.6909472209128699, -0.6893765978886799, -0.6878049326998341, -0.6862322324242262, -0.6846585041376272, -0.6830837549121144, -0.6815079918174121, -0.6799312219197222, -0.6783534522825674, -0.67677468996616, -0.6751949420277578, -0.6736142155214145, -0.6720325174980089, -0.6704498550053434, -0.6688662350877849, -0.6672816647867825, -0.6656961511400697, -0.6641097011826298, -0.6625223219454529, -0.6609340204569313, -0.6593448037412161, -0.6577546788199715, -0.6561636527104264, -0.6545717324273667, -0.652978924981031, -0.6513852373791621, -0.6497906766249563, -0.6481952497189327, -0.6465989636572095, -0.6450018254328869, -0.6434038420349423, -0.6418050204489744, -0.6402053676566528, -0.6386048906359973, -0.6370035963612489, -0.6354014918027249, -0.6337985839271492, -0.632194879697053, -0.6305903860713765]"
Aizawa_x_1,"[-0.62887672, -0.630009364066961, -0.6311387047933164, -0.6322647408045472, -0.6333874707409256, -0.6345068932588607, -0.6356230070300901, -0.6367358107416078, -0.6378453030966531, -0.6389514828126986, -0.6400543486244661, -0.6411538992798553, -0.6422501335449958, -0.643343050198217, -0.6444326480369268, -0.6455189258699409, -0.6466018825257607, -0.6476815168437985, -0.648757827683411, -0.64983081391477, -0.6509004744277945, -0.6519668081236327, -0.6530298139224193, -0.654089490756547, -0.6551458375760684, -0.6561988533446386, -0.6572485370422662, -0.6582948876635758, -0.6593379042186893, -0.6603775857331445, -0.6614139312470355, -0.662446939816819, -0.6634766105124742, -0.6645029424213283, -0.6655259346432121, -0.6665455862962201, -0.667561896510054, -0.6685748644334197, -0.6695844892259618, -0.670590770066787, -0.6715937061456073, -0.6725932966716678, -0.6735895408649238, -0.6745824379644432, -0.6755719872206527, -0.676558187902075, -0.6775410392898867, -0.6785205406818565, -0.6794966913896103, -0.6804694907404322, -0.6814389380762355, -0.6824050327537361, -0.6833677741451347, -0.684327161636458, -0.6852831946301705, -0.686235872541541, -0.6871851948032209, -0.6881311608597049, -0.6890737701737021, -0.6900130222189678, -0.690948916488087, -0.6918814524841627, -0.6928106297294213, -0.6937364477564512, -0.6946589061168352, -0.6955780043728343, -0.6964937421050519, -0.6974061189056593, -0.6983151343839563, -0.6992207881621233, -0.7001230798781103, -0.7010220091837734, -0.7019175757459224, -0.7028097792460043, -0.7036986193795344, -0.7045840958575513, -0.705466208404174, -0.7063449567599813, -0.7072203406776443, -0.7080923599271793, -0.7089610142898094, -0.7098263035648332, -0.710688227562076, -0.7115467861099134, -0.712401979046873, -0.7132538062301513, -0.7141022675271275, -0.714947362823513, -0.7157890920157369, -0.7166274550176706, -0.7174624517550391, -0.718294082169633, -0.7191223462162785, -0.7199472438648514, -0.7207687750990692, -0.7215869399168788, -0.7224017383308559, -0.7232131703668838, -0.7240212360662223, -0.7248259354831993]"
Aizawa_x_2,"[-0.17620268, -0.17647304666468083, -0.17674307269345865, -0.1770127583038084, -0.17728210371264763, -0.17755110913628516, -0.17781977479045416, -0.178088100890314, -0.17835608765041594, -0.17862373528477768, -0.1788910440067734, -0.17915801402928494, -0.17942464556451648, -0.17969093882421808, -0.17995689401943304, -0.18022251136078182, -0.18048779105815832, -0.18075273332105382, -0.1810173383582263, -0.18128160637803656, -0.18154553758812217, -0.18180913219571043, -0.1820723904073361, -0.1823353124290884, -0.18259789846641508, -0.18286014872427198, -0.1831220634070235, -0.1833836427185083, -0.18364488686200708, -0.18390579604024884, -0.18416637045544124, -0.1844266103092092, -0.18468651580269596, -0.18494608713643013, -0.18520532451049737, -0.1854642281243398, -0.1857227981769907, -0.1859810348668174, -0.18623893839180436, -0.18649650894925784, -0.18675374673611525, -0.18701065194863745, -0.18726722478271518, -0.18752346543358117, -0.1877793740960784, -0.1880349509644305, -0.1882901962324302, -0.18854511009330574, -0.1887996927398168, -0.18905394436419384, -0.18930786515817608, -0.18956145531300586, -0.18981471501940925, -0.19006764446765154, -0.1903202438474539, -0.1905725133481139, -0.19082445315835783, -0.19107606346652323, -0.19132734446035363, -0.1915782963272326, -0.1918289192539346, -0.19207921342689402, -0.19232917903193142, -0.19257881625453535, -0.1928281252795895, -0.19307710629163857, -0.1933257594746477, -0.19357408501221843, -0.1938220830874154, -0.19406975388290226, -0.19431709758085242, -0.19456411436301038, -0.1948108044106599, -0.19505716790463748, -0.19530320502535004, -0.19554891595273463, -0.19579430086633268, -0.1960393599451921, -0.19628409336799857, -0.19652850131292285, -0.1967725839578033, -0.19701634147994693, -0.1972597740563518, -0.19750288186347617, -0.19774566507748362, -0.19798812387399994, -0.19823025842835876, -0.19847206891537114, -0.19871355550954425, -0.19895471838489323, -0.19919555771510125, -0.19943607367340302, -0.19967626643267258, -0.19991613616536857, -0.2001556830435712, -0.20039490723897233, -0.2006338089228687, -0.2008723882661983, -0.2011106454394886, -0.20134858061291952]"
AnishchenkoAstakhov_x_0,"[3.6225814, 3.6231509618384274, 3.623675758778943, 3.624155841030563, 3.6245912612944506, 3.6249820747612502, 3.6253283391102498, 3.6256301144905896, 3.62588746351612, 3.626100451265794, 3.6262691452636364, 3.626393615470505, 3.6264739342847965, 3.6265101765227428, 3.626502419406946, 3.626450742565604, 3.626355228015106, 3.62621596014565, 3.6260330257163975, 3.625806513843078, 3.625536515979509, 3.625223125909179, 3.624866439737327, 3.624466555868144, 3.6240235749949368, 3.623537600093479, 3.623008736397601, 3.622437091386793, 3.621822774780402, 3.6211658985128703, 3.6204665767184694, 3.6197249257251154, 3.6189410640308584, 3.618115112285862, 3.6172471932838874, 3.6163374319419423, 3.6153859552799967, 3.614392892407563, 3.613358374509377, 3.6122825348200585, 3.611165508609946, 3.6100074331721954, 3.6088084477955698, 3.6075686937484432, 3.606288314266977, 3.604967454527162, 3.6036062616265245, 3.6022048845726458, 3.6007634742557144, 3.599282183427871, 3.597761166690729, 3.5962005804699175, 3.5946005829923604, 3.5929613342709157, 3.591282996082828, 3.589565731944289, 3.5878097070923727, 3.5860150884671906, 3.5841820446834274, 3.582310746011468, 3.5804013643606005, 3.5784540732497025, 3.576469047786741, 3.5744464646527145, 3.572386502072401, 3.570289339792068, 3.568155159063303, 3.5659841426149317, 3.5637764746290594, 3.561532340723526, 3.5592519279262134, 3.556935424649799, 3.55458302067125, 3.552194907110238, 3.549771276401027, 3.5473123222715204, 3.54481823972296, 3.542289225000882, 3.5397254755732757, 3.5371271901111174, 3.534494568459241, 3.5318278116133386, 3.5291271217008777, 3.5263927019526466, 3.5236247566786174, 3.520823491248477, 3.5179891120646687, 3.5151218265373427, 3.512221843063513, 3.5092893710025455, 3.506324620650001, 3.5033278032154493, 3.5002991308003217, 3.497238816370453, 3.494147073733765, 3.491024117518853, 3.487870163147523, 3.4846854268119367, 3.4814701254537455, 3.4782244767368584]"
AnishchenkoAstakhov_x_1,"[3.3226339, 3.3176958298703823, 3.3127570139259928, 3.307817513148577, 3.3028773884498825, 3.297936700668151, 3.2929955105645097, 3.288053878819938, 3.2831118660318266, 3.27816953271029, 3.273226939275221, 3.2682841460529466, 3.263341213272495, 3.2583982010626715, 3.253455169448849, 3.2485121783492503, 3.243569287571961, 3.2386265568118504, 3.233684045647017, 3.2287418135355748, 3.2237999198127882, 3.218858423687684, 3.213917384239594, 3.2089768604155515, 3.204036911026978, 3.1990975947461155, 3.194158970103571, 3.189221095485148, 3.184284029128191, 3.1793478291192, 3.174412553390853, 3.1694782597183346, 3.164545005716912, 3.159612848839159, 3.1546818463714215, 3.149752055431194, 3.1448235329645207, 3.1398963357428484, 3.134970520359908, 3.130046143229575, 3.1251232605827783, 3.120201928464238, 3.11528220273055, 3.11036413904726, 3.1054477928854682, 3.1005332195200515, 3.095620474026968, 3.0907096112797907, 3.085800685947944, 3.08089375249427, 3.0759888651716367, 3.0710860780210134, 3.066185444869293, 3.0612870193262145, 3.056390854782015, 3.0514970044056127, 3.046605521141874, 3.041716457708796, 3.0368298665961473, 3.031945800062856, 3.0270643101340267, 3.0221854485997945, 3.017309267012954, 3.0124358166858483, 3.007565148689307, 3.0026973138505753, 2.9978323627501964, 2.9929703457208565, 2.9881113128456254, 2.9832553139550537, 2.9784023986256942, 2.9735526161786128, 2.9687060156770375, 2.963862645924169, 2.959022555462313, 2.954185792570653, 2.9493524052628093, 2.944522441286294, 2.9396959481204967, 2.934872972974072, 2.9300535627845523, 2.925237764216647, 2.9204256236595354, 2.9156171872264722, 2.910812500753435, 2.9060116097965114, 2.9012145596312724, 2.8964213952517475, 2.891632161368214, 2.886846902406012, 2.882065662504956, 2.8772884855175853, 2.8725154150073395, 2.867746494248552, 2.8629817662248325, 2.858221273627035, 2.85346505885349, 2.848713164008675, 2.8439656309010215, 2.839222501043332]"
AnishchenkoAstakhov_x_2,"[1.9973142, 2.0048954126243594, 2.0124741615675266, 2.0200502279972117, 2.027623393391836, 2.0351934395613833, 2.042760148668767, 2.050323303248483, 2.0578826862270874, 2.0654380809448596, 2.0729892711739066, 2.080536041138063, 2.088078175534739, 2.09561545955273, 2.1031476788913985, 2.1106746197823236, 2.118196069007292, 2.125711813916702, 2.133221642450304, 2.140725343156187, 2.148222705207967, 2.155713518424545, 2.163197573290237, 2.170674660970435, 2.1781445733308797, 2.185607102958207, 2.1930620431746894, 2.2005091880566106, 2.207948332455142, 2.215379272010538, 2.2228018031693697, 2.230215723205336, 2.237620830233494, 2.245016923226273, 2.2524038020334, 2.259781267397032, 2.267149120966634, 2.2745071653167352, 2.2818552039644717, 2.2891930413818757, 2.296520483013149, 2.303837335292812, 2.3111434056566034, 2.318438502557711, 2.3257224354854427, 2.332995014975211, 2.3402560526233502, 2.3475053611059895, 2.3547427541887664, 2.3619680467400674, 2.369181054749309, 2.37638159533732, 2.3835694867680437, 2.390744548464922, 2.3979066010233727, 2.405055466220345, 2.4121909670287, 2.419312927631983, 2.426421173431331, 2.433515531059047, 2.4405958283940126, 2.4476618945673083, 2.4547135599742713, 2.461750656290413, 2.468773016476384, 2.47578047478824, 2.4827728667932023, 2.4897500293749104, 2.4967118007418465, 2.5036580204417365, 2.510588529368344, 2.517503169768259, 2.524401785252165, 2.531284220805216, 2.5381503227903224, 2.544999938958603, 2.551832918460841, 2.558649111848929, 2.5654483710849596, 2.572230549553413, 2.5789955020615722, 2.585743084846784, 2.5924731555889333, 2.5991855734107143, 2.605880198882895, 2.6125568940360746, 2.6192155223620026, 2.625855948816951, 2.632478039831169, 2.6390816633129424, 2.6456666886495177, 2.6522329867139622, 2.6587804298723614, 2.66530889198156, 2.6718182483951822, 2.6783083759716644, 2.6847791530706533, 2.6912304595573366, 2.6976621768111384, 2.7040741877209995]"
Arneodo_x_0,"[-2.7515698, -2.7514483438066946, -2.7513254970590344, -2.7512012594146267, -2.7510756305342543, -2.75094861008191, -2.7508201977251425, -2.7506903931342515, -2.750559195983569, -2.7504266059497655, -2.7502926227138813, -2.75015724595912, -2.750020475373053, -2.749882310645677, -2.7497427514709143, -2.74960179754564, -2.7494594485701476, -2.7493157042481915, -2.749170564286472, -2.74902402839564, -2.748876096288836, -2.748726767683559, -2.748576042299523, -2.7484239198609277, -2.748270400094292, -2.748115482730316, -2.747959167502519, -2.747801454148026, -2.7476423424073335, -2.747481832024081, -2.7473199227457608, -2.7471566143225283, -2.746991906508855, -2.746825799061516, -2.7466582917418405, -2.746489384313427, -2.7463190765442516, -2.7461473682050186, -2.745974259070199, -2.7457997489175567, -2.7456238375281905, -2.7454465246869484, -2.74526781018153, -2.745087693803879, -2.7449061753483672, -2.744723254613945, -2.7445389314018276, -2.744353205517783, -2.7441660767701457, -2.743977544971311, -2.743787609936797, -2.7435962714856674, -2.7434035294406276, -2.7432093836274314, -2.743013833875986, -2.7428168800187755, -2.7426185218928505, -2.742418759337568, -2.74221759219696, -2.7420150203175013, -2.7418110435499954, -2.741605661748218, -2.7413988747696814, -2.741190682475439, -2.7409810847297917, -2.740770081401089, -2.7405576723604272, -2.7403438574834222, -2.740128636648078, -2.739912009737146, -2.7396939766357518, -2.73947453723356, -2.7392536914230954, -2.739031439100788, -2.7388077801665163, -2.7385827145236044, -2.7383562420793064, -2.738128362743814, -2.7378990764317614, -2.7376683830602873, -2.7374362825513026, -2.7372027748290773, -2.7369678598225944, -2.7367315374635433, -2.736493807687784, -2.736254670434465, -2.736014125646387, -2.7357721732701625, -2.73552881325554, -2.735284045556611, -2.7350378701301175, -2.7347902869375584, -2.7345412959428215, -2.7342908971146382, -2.7340390904242997, -2.733785875847553, -2.7335312533632576, -2.733275222954127, -2.73301778460653, -2.7327589383103823]"
Arneodo_x_1,"[0.19079818, 0.19299493466530449, 0.19519223297012755, 0.1973900697639109, 0.1995884398890931, 0.20178733818104985, 0.20398675946737369, 0.20618669856964583, 0.20838715030067842, 0.2105881094682094, 0.21278957087054348, 0.21499152930132218, 0.2171939795448191, 0.2193969163801258, 0.22160033457796988, 0.22380422890281543, 0.2260085941118906, 0.22821342495513702, 0.2304187161763062, 0.232624462510889, 0.23483065868918027, 0.237037299432428, 0.23924437945729002, 0.24145189347117846, 0.2436598361767381, 0.24586820226805509, 0.24807698643346882, 0.2502861833539845, 0.25249578770378833, 0.2547057941507225, 0.25691619735488885, 0.25912699197105266, 0.2613381726453771, 0.26354973401944043, 0.26576167072580725, 0.2679739773925669, 0.270186648639204, 0.27239967907986806, 0.2746130633213572, 0.2768267959640772, 0.2790408716019744, 0.28125528482177214, 0.2834700302047136, 0.28568510232392597, 0.28790049574790644, 0.29011620503646224, 0.2923322247451147, 0.2945485494208138, 0.2967651736056923, 0.29898209183429386, 0.3011992986353498, 0.30341678853101534, 0.30563455603672385, 0.3078525956622969, 0.3100709019099506, 0.3122894692771944, 0.314508292253243, 0.3167273653231321, 0.31894668296347195, 0.3211662396464855, 0.32338602983665354, 0.325606047993169, 0.3278262885685902, 0.330046746009227, 0.33226741475567123, 0.33448828924142965, 0.33670936389520906, 0.33893063313787164, 0.3411520913861434, 0.34337373304857605, 0.3455955525296464, 0.3478175442260782, 0.3500397025297322, 0.3522620218258525, 0.3544844964938699, 0.35670712090742757, 0.3589298894336007, 0.36115279643457004, 0.36337583626515924, 0.3655990032760529, 0.36782229181009835, 0.37004569620628275, 0.3722692107959182, 0.3744928299059306, 0.37671654785651, 0.3789403589625666, 0.38116425753316396, 0.38338823787129883, 0.3856122942749918, 0.38783642103541577, 0.39006061243957313, 0.39228486276703256, 0.39450916629364047, 0.3967335172877414, 0.3989579100137312, 0.4011823387291652, 0.40340679768684357, 0.40563128113370517, 0.4078557833111565, 0.4100802984552621]"
Arneodo_x_2,"[3.4703629, 3.471225896174849, 3.4720807605548556, 3.4729274817584987, 3.473766048427174, 3.474596449225518, 3.4754186728439755, 3.476232707993021, 3.477038543412586, 3.477836167859719, 3.4786255701235675, 3.4794067390092116, 3.4801796633540087, 3.4809443320132725, 3.4817007338714876, 3.4824488578351356, 3.483188692836246, 3.4839202278327717, 3.484643451804796, 3.485358353762169, 3.486064922733546, 3.4867631477806023, 3.4874530179818333, 3.488134522449905, 3.488807650315192, 3.489472390740084, 3.4901287329086164, 3.49077666603259, 3.4914161793498195, 3.4920472621224383, 3.4926699036424855, 3.493284093222711, 3.4938898202095228, 3.494487073967342, 3.4950758438963043, 3.4956561194143583, 3.496227889973964, 3.49679114504912, 3.4973458741436576, 3.497892066787548, 3.4984297125373067, 3.498958800979359, 3.4994793217229283, 3.499991264411278, 3.5004946187071666, 3.5009893743102607, 3.501475520938506, 3.5019530483467025, 3.502421946310481, 3.5028822046384973, 3.503333813164876, 3.5037767617527074, 3.5042110402949196, 3.5046366387094627, 3.5050535469484765, 3.505461754985349, 3.5058612528312287, 3.5062520305163662, 3.506634078109851, 3.507007385701099, 3.5073719434156496, 3.5077277414038828, 3.5080747698475077, 3.508413018957966, 3.5087424789740393, 3.509063140168657, 3.509374992837982, 3.5096780273164723, 3.509972233958856, 3.5102576031602735, 3.5105341253361, 3.5108017909405134, 3.5110605904521917, 3.5113105143833248, 3.5115515532757717, 3.511783697701079, 3.5120069382647507, 3.5122212655977094, 3.5124266703694107, 3.5126231432710746, 3.5128106750355, 3.5129892564160494, 3.513158878207318, 3.5133195312276064, 3.513471206331844, 3.5136138944038855, 3.513747586359782, 3.51387227314926, 3.5139879457497996, 3.514094595177391, 3.5141922124715794, 3.5142807887142697, 3.5143603150086618, 3.514430782501258, 3.5144921823614745, 3.514544505798711, 3.514587744050358, 3.5146218883884965, 3.5146469301182086, 3.5146628605766312]"
ArnoldBeltramiChildress_x_0,"[-0.25495898026743613, -0.2542474281061554, -0.253535050252795, -0.25282184643023364, -0.25210781638527313, -0.251392959866412, -0.2506772766239622, -0.2499607664099459, -0.24924342897821244, -0.248525264084335, -0.24780627148570017, -0.24708645094151463, -0.24636580223851248, -0.24564432510568862, -0.24492201931830135, -0.24419888465343736, -0.24347492088999095, -0.24275012780872618, -0.24202450519222868, -0.24129805282494002, -0.24057077049316483, -0.23984265798516038, -0.239113715090923, -0.23838394160241566, -0.23765333731503832, -0.23692190204978153, -0.2361896355738823, -0.23545653769914437, -0.23472260823935467, -0.23398784701018008, -0.2332522538292571, -0.2325158285161991, -0.231778570892548, -0.23104048078180905, -0.23030155800943017, -0.22956180240289212, -0.22882121379163256, -0.22807979201026315, -0.2273375369151585, -0.2265944483123956, -0.22585052605232242, -0.22510576998734386, -0.2243601799717908, -0.22361375586212087, -0.22286649751687024, -0.2221184047965223, -0.22136947756373657, -0.22061971568318947, -0.21986911902163706, -0.21911768744792223, -0.2183654208380021, -0.2176123190851958, -0.2168583820366681, -0.2161036095831667, -0.21534800161759937, -0.21459155803501337, -0.2138342787325751, -0.2130761636096327, -0.2123172125676956, -0.21155742551044188, -0.2107968023436699, -0.2100353429754723, -0.2092730473159933, -0.20850991528460752, -0.2077459468133249, -0.20698114179247334, -0.20621550015521464, -0.20544902183691927, -0.2046817067752849, -0.20391355491017704, -0.20314456618377516, -0.20237474054049687, -0.20160407792703292, -0.20083257829238244, -0.2000602415878047, -0.19928706776685426, -0.19851305679427458, -0.1977382086426691, -0.19696252324756697, -0.19618600058657606, -0.19540864063956237, -0.1946304433887969, -0.19385140881885143, -0.19307153691674536, -0.1922908276718137, -0.1915092810757983, -0.1907268971227434, -0.18994367580922664, -0.18915961713411508, -0.18837472110421122, -0.18758898773141708, -0.18680241701607467, -0.18601500898022214, -0.18522676364826068, -0.18443768104715735, -0.183647761206285, -0.18285700415742973, -0.18206540993499393, -0.18127297857569644, -0.1804797101189153]"
