ABUNDANCE,BIOMAS,GENUS_SPECIES,SAMPLE_DESC,PLOT,LATITUDE,LONGITUDE,DAY,MONTH,YEAR
0.01,0.01,"Alona sp",10_2_1995_43.18083_-75.92639,,43.180830,-75.926390,10,2,1995
0.01,0.02,"Bosmina longirostris",17_3_1993_43.18083_-75.92639,,43.180830,-75.926390,17,3,1993
0.01,0.1,"Daphnia mendotae",10_2_1995_43.18083_-75.92639,,43.180830,-75.926390,10,2,1995
0.01,0.06,"Daphnia mendotae",8_9_1980_43.21028_-75.92278,,43.210280,-75.922780,8,9,1980
0.01,0.15,"Daphnia mendotae",8_9_1980_43.18611_-75.77083,,43.186110,-75.770830,8,9,1980
0.01,0.1,"Daphnia mendotae",20_2_1996_43.18083_-75.92639,,43.180830,-75.926390,20,2,1996
0.01,0.17,"Daphnia mendotae",8_9_1980_43.18083_-75.92639,,43.180830,-75.926390,8,9,1980
0.01,0.08,"Daphnia mendotae",15_9_1980_43.18083_-75.92639,,43.180830,-75.926390,15,9,1980
0.01,0.12,"Daphnia pulicaria",18_8_1980_43.22111_-76.04444,,43.221110,-76.044440,18,8,1980
0.01,0.2,"Daphnia pulicaria",30_9_1980_43.22111_-76.04444,,43.221110,-76.044440,30,9,1980
0.01,0.06,"Epischura lacustris",8_4_2004_43.18083_-75.92639,,43.180830,-75.926390,8,4,2004
0.01,0.13,"Mesocyclops edax",10_2_1995_43.18083_-75.92639,,43.180830,-75.926390,10,2,1995
0.01,0.07,"Mesocyclops edax",24_2_1986_43.21028_-75.92278,,43.210280,-75.922780,24,2,1986
0.02,0.04,"Acanthocyclops vernalis",18_2_1986_43.21028_-75.92278,,43.210280,-75.922780,18,2,1986
0.02,0.02,"Alona sp",29_3_1995_43.18083_-75.92639,,43.180830,-75.926390,29,3,1995
0.02,0.05,"Bosmina longirostris",24_2_1995_43.18083_-75.92639,,43.180830,-75.926390,24,2,1995
0.02,0.02,"Bosmina longirostris",9_7_2001_43.22111_-76.04444,,43.221110,-76.044440,9,7,2001
0.02,0.02,"Bosmina longirostris",14_5_1979_43.18083_-75.92639,,43.180830,-75.926390,14,5,1979
0.02,0.04,"Ceriodaphnia quadrangula",10_4_1981_43.21028_-75.92278,,43.210280,-75.922780,10,4,1981
0.02,0.01,"Chydorus sphaericus",9_7_2001_43.22111_-76.04444,,43.221110,-76.044440,9,7,2001
0.02,0.02,"Chydorus sphaericus",15_4_2002_43.21028_-75.92278,,43.210280,-75.922780,15,4,2002
0.02,0.01,"Chydorus sphaericus",24_2_1986_43.21028_-75.92278,,43.210280,-75.922780,24,2,1986
